scenario,diet_id,diet_group,combo,solved
baseline_no_ablation,person_1,real,full_day,False
baseline_no_ablation,person_1,real,lunch_snack_dinner,False
baseline_no_ablation,person_1,real,lunch_dinner,False
baseline_no_ablation,person_1,real,lunch_only,False
baseline_no_ablation,person_1,real,dinner_only,False
baseline_no_ablation,person_1,real,lunch_snack,False
baseline_no_ablation,person_2,real,full_day,True
baseline_no_ablation,person_2,real,lunch_snack_dinner,True
baseline_no_ablation,person_2,real,lunch_dinner,True
baseline_no_ablation,person_2,real,lunch_only,False
baseline_no_ablation,person_2,real,dinner_only,False
baseline_no_ablation,person_2,real,lunch_snack,True
baseline_no_ablation,person_3,real,full_day,True
baseline_no_ablation,person_3,real,lunch_snack_dinner,True
baseline_no_ablation,person_3,real,lunch_dinner,True
baseline_no_ablation,person_3,real,lunch_only,False
baseline_no_ablation,person_3,real,dinner_only,False
baseline_no_ablation,person_3,real,lunch_snack,False
baseline_no_ablation,person_4,real,full_day,True
baseline_no_ablation,person_4,real,lunch_snack_dinner,False
baseline_no_ablation,person_4,real,lunch_dinner,True
baseline_no_ablation,person_4,real,lunch_only,True
baseline_no_ablation,person_4,real,dinner_only,False
baseline_no_ablation,person_4,real,lunch_snack,True
baseline_no_ablation,person_5,real,full_day,True
baseline_no_ablation,person_5,real,lunch_snack_dinner,True
baseline_no_ablation,person_5,real,lunch_dinner,True
baseline_no_ablation,person_5,real,lunch_only,False
baseline_no_ablation,person_5,real,dinner_only,False
baseline_no_ablation,person_5,real,lunch_snack,True
baseline_no_ablation,person_6,real,full_day,True
baseline_no_ablation,person_6,real,lunch_snack_dinner,True
baseline_no_ablation,person_6,real,lunch_dinner,True
baseline_no_ablation,person_6,real,lunch_only,False
baseline_no_ablation,person_6,real,dinner_only,False
baseline_no_ablation,person_6,real,lunch_snack,False
baseline_no_ablation,person_7,real,full_day,True
baseline_no_ablation,person_7,real,lunch_snack_dinner,True
baseline_no_ablation,person_7,real,lunch_dinner,True
baseline_no_ablation,person_7,real,lunch_only,False
baseline_no_ablation,person_7,real,dinner_only,False
baseline_no_ablation,person_7,real,lunch_snack,False
baseline_no_ablation,person_8,real,full_day,True
baseline_no_ablation,person_8,real,lunch_snack_dinner,True
baseline_no_ablation,person_8,real,lunch_dinner,True
baseline_no_ablation,person_8,real,lunch_only,False
baseline_no_ablation,person_8,real,dinner_only,False
baseline_no_ablation,person_8,real,lunch_snack,False
baseline_no_ablation,person_9,real,full_day,True
baseline_no_ablation,person_9,real,lunch_snack_dinner,False
baseline_no_ablation,person_9,real,lunch_dinner,True
baseline_no_ablation,person_9,real,lunch_only,True
baseline_no_ablation,person_9,real,dinner_only,False
baseline_no_ablation,person_9,real,lunch_snack,True
baseline_no_ablation,person_10,real,full_day,True
baseline_no_ablation,person_10,real,lunch_snack_dinner,True
baseline_no_ablation,person_10,real,lunch_dinner,True
baseline_no_ablation,person_10,real,lunch_only,False
