diet_id,diet_label,diet_group,combo,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,tier,culinary_pass,serving_step
person_1,Person 1,real,full_day,2000.0,175.0,200.0,56.0,1922,133,198,67,-3.9,-24.0,-1.0,19.6,kcal_strict_macro_free,strict,1.0
person_1,Person 1,real,lunch_snack_dinner,2000.0,175.0,200.0,56.0,1900,119,207,66,-5.0,-32.0,3.5,17.9,kcal_strict_macro_free,strict,1.0
person_1,Person 1,real,lunch_dinner,2000.0,175.0,200.0,56.0,1858,118,202,64,-7.1,-32.6,1.0,14.3,kcal_strict_macro_free,strict,1.0
person_1,Person 1,real,lunch_only,2000.0,175.0,200.0,56.0,940,78,78,35,-53.0,-55.4,-61.0,-37.5,full_best_effort,strict,1.0
person_1,Person 1,real,dinner_only,2000.0,175.0,200.0,56.0,1294,71,129,55,-35.3,-59.4,-35.5,-1.8,full_best_effort,strict,1.0
person_1,Person 1,real,lunch_snack,2000.0,175.0,200.0,56.0,1195,83,112,46,-40.2,-52.6,-44.0,-17.9,full_best_effort,strict,1.0
person_2,Person 2,real,full_day,1350.0,101.0,135.0,45.0,1433,96,135,57,6.1,-5.0,0.0,26.7,kcal_strict_macro_free,strict,1.0
person_2,Person 2,real,lunch_snack_dinner,1350.0,101.0,135.0,45.0,1380,96,133,52,2.2,-5.0,-1.5,15.6,kcal_strict_macro_free,strict,1.0
person_2,Person 2,real,lunch_dinner,1350.0,101.0,135.0,45.0,1340,95,136,46,-0.7,-5.9,0.7,2.2,kcal_strict_macro_free,strict,1.0
person_2,Person 2,real,lunch_only,1350.0,101.0,135.0,45.0,940,78,78,35,-30.4,-22.8,-42.2,-22.2,full_best_effort,strict,1.0
person_2,Person 2,real,dinner_only,1350.0,101.0,135.0,45.0,1294,71,129,55,-4.1,-29.7,-4.4,22.2,kcal_strict_macro_free,strict,1.0
person_2,Person 2,real,lunch_snack,1350.0,101.0,135.0,45.0,1347,98,130,48,-0.2,-3.0,-3.7,6.7,kcal_strict_macro_free,strict,0.5
person_3,Person 3,real,full_day,1800.0,135.0,180.0,60.0,1835,131,178,66,1.9,-3.0,-1.1,10.0,kcal_strict_macro_free,strict,1.0
