version,day_id,date,meal_types,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,prod_kcal,prod_protein_g,prod_carbs_g,prod_fat_g,prod_dev_kcal_pct,prod_dev_protein_pct,prod_dev_carbs_pct,prod_dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
v3,138,2025-11-26,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1216,103,139,27,1.3,14.4,3.0,-18.9,991.9000000000001,87.25999999999999,115.77000000000001,20.21,-17.3,-3.0,-14.2,-39.3,strict_relaxed_tol,0.1,strict,0.5,398.99,4,False,26.7,2.0
v3,139,2025-11-27,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1204,90,123,39,0.3,0.0,-8.9,17.1,1154.35,90.89000000000001,106.99999999999999,37.120000000000005,-3.8,1.0,-20.7,11.5,strict_relaxed_tol,0.15,strict,0.5,520.56,6,False,26.1,3.0
v3,140,2025-11-28,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1182,101,124,31,-1.5,12.2,-8.1,-6.9,1016.6499999999999,76.56,117.8,24.32,-15.3,-14.9,-12.7,-27.0,strict_tight,0.08,strict,0.5,268.79,2,True,18.4,1.5
v3,141,2025-12-01,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1185,92,135,31,-1.2,2.2,0.0,-6.9,1056.25,83.24000000000001,128.56,21.560000000000002,-12.0,-7.5,-4.8,-35.3,strict_tight,0.08,strict,1.0,128.56,1,True,22.5,4.0
v3,171,2025-12-08,breakfast|dinner|lunch,1300.0,97.5,130.0,43.3,1361,107,138,42,4.7,9.7,6.2,-3.0,1063.2,77.02,125.82999999999998,24.32,-18.2,-21.0,-3.2,-43.8,strict_tight,0.08,strict,1.0,86.66,1,False,30.7,2.0
v3,172,2025-12-09,breakfast|dinner|lunch|snack,1300.0,97.5,130.0,43.3,1287,98,131,41,-1.0,0.5,0.8,-5.3,1301.3000000000002,100.39,136.52,37.01,0.1,3.0,5.0,-14.5,strict_tight,0.08,strict,1.0,106.89,1,True,22.9,7.0
v3,173,2025-12-10,breakfast|dinner|lunch,1300.0,97.5,130.0,43.3,1345,97,138,45,3.5,-0.5,6.2,3.9,1083.8,86.01,111.98000000000002,32.06,-16.6,-11.8,-13.9,-26.0,strict_tight,0.08,strict,1.0,133.7,1,True,20.9,3.0
v3,174,2025-12-11,breakfast|dinner|lunch,1300.0,97.5,130.0,43.3,1288,117,128,34,-0.9,20.0,-1.5,-21.5,1193.4,93.74999999999999,147.63,20.35,-8.2,-3.8,13.6,-53.0,strict_relaxed_tol,0.2,strict,0.5,627.64,8,False,60.2,2.5
v3,233,2026-02-19,lunch,600.0,37.5,82.5,13.3,615,43,68,19,2.5,14.7,-17.6,42.9,614.03,35.99,81.53999999999999,15.989999999999998,2.3,-4.0,-1.2,20.2,single_meal_kcal_only,0.08,strict,1.0,90.58,1,True,45.2,2.0
v3,327,2026-04-06,breakfast|dinner|lunch|snack,1200.0,90.0,120.0,40.0,1203,90,120,40,0.2,0.0,0.0,0.0,1215.58,91.19999999999999,119.50999999999999,41.42,1.3,1.3,-0.4,3.6,strict_tight,0.08,strict,0.5,287.32,2,True,19.8,2.0
v3,234,2026-02-09,lunch,700.0,52.5,70.0,23.3,687,53,78,18,-1.9,1.0,11.4,-22.7,681.4200000000001,62.08,66.55999999999999,18.54,-2.7,18.2,-4.9,-20.4,single_meal_kcal_only,0.08,strict,1.0,77.14,1,True,59.5,2.0
v3,210,2026-01-16,dinner|lunch,1000.0,75.0,100.0,33.3,928,81,89,28,-7.2,8.0,-11.0,-15.9,804.09,60.2,78.31,27.79,-19.6,-19.7,-21.7,-16.5,strict_relaxed_tol,0.15,strict,1.0,477.09,5,True,28.7,1.0
v3,179,2025-12-08,breakfast|dinner|lunch,2400.0,180.0,240.0,80.0,2282,197,218,69,-4.9,9.4,-9.2,-13.8,1924.75,140.48999999999998,218.10000000000002,51.779999999999994,-19.8,-22.0,-9.1,-35.3,strict_relaxed_tol,0.1,strict,0.5,509.28,4,False,32.0,3.5
v3,180,2025-12-09,breakfast|dinner|lunch,2400.0,180.0,240.0,80.0,2382,179,236,80,-0.8,-0.6,-1.7,0.0,2236.9,167.0,223.2,69.46,-6.8,-7.2,-7.0,-13.2,strict_tight,0.08,strict,1.0,260.84,1,True,24.8,4.0
v3,152,2025-12-08,breakfast|dinner|lunch,1800.0,135.0,180.0,60.0,1788,136,177,60,-0.7,0.7,-1.7,0.0,1570.2,115.85000000000002,169.71999999999997,46.129999999999995,-12.8,-14.2,-5.7,-23.1,strict_tight,0.08,strict,1.0,285.37,1,True,33.1,2.0
v3,153,2025-12-09,breakfast|dinner|lunch|snack,1800.0,135.0,180.0,60.0,1810,152,178,54,0.6,12.6,-1.1,-10.0,1696.0,134.47,178.96,42.739999999999995,-5.8,-0.4,-0.6,-28.8,strict_tight,0.08,strict,0.5,317.84,2,True,36.2,7.0
v3,154,2025-12-10,breakfast|dinner|lunch,1800.0,135.0,180.0,60.0,1778,134,179,58,-1.2,-0.7,-0.6,-3.3,1669.2,134.07,161.76,51.1,-7.3,-0.7,-10.1,-14.8,strict_tight,0.08,strict,1.0,266.73,1,False,26.7,9.0
v3,155,2025-12-11,breakfast|dinner|lunch|snack,1800.0,135.0,180.0,60.0,1780,134,177,60,-1.1,-0.7,-1.7,0.0,1776.1,137.04000000000002,181.91,51.86,-1.3,1.5,1.1,-13.6,strict_tight,0.08,strict,1.0,195.24,1,True,31.6,10.0
v3,181,2025-12-10,breakfast|dinner|lunch|snack,2400.0,180.0,240.0,80.0,2405,190,239,77,0.2,5.6,-0.4,-3.8,2349.85,179.97,239.85,67.25999999999999,-2.1,-0.0,-0.1,-15.9,strict_tight,0.08,strict,1.0,153.08,1,True,32.0,3.0
v3,182,2025-12-11,breakfast|dinner|lunch,2400.0,180.0,240.0,80.0,2419,183,239,81,0.8,1.7,-0.4,1.2,1995.4,176.01,184.82,57.519999999999996,-16.9,-2.2,-23.0,-28.1,strict_tight,0.08,strict,1.0,215.93,1,True,36.6,3.0
v3,211,2026-01-19,dinner|lunch|snack,1000.0,75.0,100.0,33.3,962,72,100,30,-3.8,-4.0,0.0,-9.9,928.8700000000001,64.06,105.67999999999999,27.79,-7.1,-14.6,5.7,-16.5,strict_tight,0.08,strict,1.0,145.76,1,True,26.7,2.0
