version,day_id,date,meal_types,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
current_shipped_2026-08-18,138,2025-11-26,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1154,90,134,29,-3.8,0.0,-0.7,-12.9,strict_tight,0.08,strict,0.5,280.75,2,False,28.2,3.5
current_shipped_2026-08-18,139,2025-11-27,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1197,94,119,38,-0.2,4.4,-11.9,14.1,strict_relaxed_tol,0.15,strict,mixed_quarter,330.51,9,False,26.1,2.5
current_shipped_2026-08-18,140,2025-11-28,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1193,100,122,34,-0.6,11.1,-9.6,2.1,strict_tight,0.08,strict,0.5,107.77,2,False,26.2,1.5
current_shipped_2026-08-18,141,2025-12-01,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1202,91,135,33,0.2,1.1,0.0,-0.9,strict_tight,0.08,strict,1.0,30.13,1,True,19.8,4.0
current_shipped_2026-08-18,171,2025-12-08,breakfast|dinner|lunch,1300.0,97.5,130.0,43.3,1361,107,138,42,4.7,9.7,6.2,-3.0,strict_tight,0.08,strict,1.0,24.97,1,False,30.7,2.0
current_shipped_2026-08-18,172,2025-12-09,breakfast|dinner|lunch|snack,1300.0,97.5,130.0,43.3,1302,98,129,44,0.2,0.5,-0.8,1.6,strict_tight,0.08,strict,0.5,195.03,2,True,22.7,4.0
current_shipped_2026-08-18,173,2025-12-10,breakfast|dinner|lunch,1300.0,97.5,130.0,43.3,1335,98,141,42,2.7,0.5,8.5,-3.0,strict_tight,0.08,strict,1.0,215.83,1,True,17.8,3.0
current_shipped_2026-08-18,174,2025-12-11,breakfast|dinner|lunch,1300.0,97.5,130.0,43.3,1295,102,136,38,-0.4,4.6,4.6,-12.2,strict_tight,0.08,strict,0.5,87.63,2,False,32.3,3.0
current_shipped_2026-08-18,233,2026-02-19,lunch,600.0,37.5,82.5,13.3,580,43,55,21,-3.3,14.7,-33.3,57.9,single_meal_kcal_protein,0.08,strict,1.0,134.42,1,True,36.0,2.0
current_shipped_2026-08-18,327,2026-04-06,breakfast|dinner|lunch|snack,1200.0,90.0,120.0,40.0,1200,90,120,40,0.0,0.0,0.0,0.0,strict_tight,0.08,strict,0.5,166.2,2,True,29.2,1.5
current_shipped_2026-08-18,234,2026-02-09,lunch,700.0,52.5,70.0,23.3,687,53,78,18,-1.9,1.0,11.4,-22.7,single_meal_kcal_protein,0.08,strict,1.0,93.68,1,True,59.5,2.0
current_shipped_2026-08-18,210,2026-01-16,dinner|lunch,1000.0,75.0,100.0,33.3,1036,83,104,32,3.6,10.7,4.0,-3.9,strict_tight,0.08,strict,1.0,31.45,1,True,20.1,2.0
current_shipped_2026-08-18,179,2025-12-08,breakfast|dinner|lunch,2400.0,180.0,240.0,80.0,2384,202,235,71,-0.7,12.2,-2.1,-11.2,strict_tight,0.08,strict,0.5,324.46,2,False,26.3,3.5
