version,day_id,date,meal_types,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
v2_shipped,138,2025-11-26,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1216,103,139,27,1.3,14.4,3.0,-18.9,strict_relaxed_tol,0.1,strict,0.5,578.83,4,False,26.7,2.0
v2_shipped,139,2025-11-27,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1204,90,123,39,0.3,0.0,-8.9,17.1,strict_relaxed_tol,0.15,strict,0.5,515.32,6,False,26.1,3.0
v2_shipped,140,2025-11-28,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1182,101,124,31,-1.5,12.2,-8.1,-6.9,strict_tight,0.08,strict,0.5,278.98,2,True,18.4,1.5
v2_shipped,141,2025-12-01,breakfast|dinner|lunch,1200.0,90.0,135.0,33.3,1185,92,135,31,-1.2,2.2,0.0,-6.9,strict_tight,0.08,strict,1.0,120.34,1,True,22.5,4.0
v2_shipped,171,2025-12-08,breakfast|dinner|lunch,1300.0,97.5,130.0,43.3,1361,107,138,42,4.7,9.7,6.2,-3.0,strict_tight,0.08,strict,1.0,91.38,1,False,30.7,2.0
v2_shipped,172,2025-12-09,breakfast|dinner|lunch|snack,1300.0,97.5,130.0,43.3,1287,98,131,41,-1.0,0.5,0.8,-5.3,strict_tight,0.08,strict,1.0,91.1,1,True,22.9,7.0
v2_shipped,173,2025-12-10,breakfast|dinner|lunch,1300.0,97.5,130.0,43.3,1345,97,138,45,3.5,-0.5,6.2,3.9,strict_tight,0.08,strict,1.0,117.53,1,True,20.9,3.0
v2_shipped,174,2025-12-11,breakfast|dinner|lunch,1300.0,97.5,130.0,43.3,1288,117,128,34,-0.9,20.0,-1.5,-21.5,strict_relaxed_tol,0.2,strict,0.5,694.98,8,False,60.2,2.5
v2_shipped,233,2026-02-19,lunch,600.0,37.5,82.5,13.3,511,40,46,18,-14.8,6.7,-44.2,35.3,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1254.56,17,True,54.5,1.0
v2_shipped,327,2026-04-06,breakfast|dinner|lunch|snack,1200.0,90.0,120.0,40.0,1203,90,120,40,0.2,0.0,0.0,0.0,strict_tight,0.08,strict,0.5,300.82,2,True,19.8,2.0
v2_shipped,234,2026-02-09,lunch,700.0,52.5,70.0,23.3,687,53,78,18,-1.9,1.0,11.4,-22.7,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1328.77,17,True,59.5,2.0
v2_shipped,210,2026-01-16,dinner|lunch,1000.0,75.0,100.0,33.3,928,81,89,28,-7.2,8.0,-11.0,-15.9,strict_relaxed_tol,0.15,strict,1.0,505.8,5,True,28.7,1.0
v2_shipped,179,2025-12-08,breakfast|dinner|lunch,2400.0,180.0,240.0,80.0,2282,197,218,69,-4.9,9.4,-9.2,-13.8,strict_relaxed_tol,0.1,strict,0.5,646.26,4,False,32.0,3.5
v2_shipped,180,2025-12-09,breakfast|dinner|lunch,2400.0,180.0,240.0,80.0,2382,179,236,80,-0.8,-0.6,-1.7,0.0,strict_tight,0.08,strict,1.0,219.82,1,True,24.8,4.0
v2_shipped,152,2025-12-08,breakfast|dinner|lunch,1800.0,135.0,180.0,60.0,1788,136,177,60,-0.7,0.7,-1.7,0.0,strict_tight,0.08,strict,1.0,196.22,1,True,33.1,2.0
v2_shipped,153,2025-12-09,breakfast|dinner|lunch|snack,1800.0,135.0,180.0,60.0,1810,152,178,54,0.6,12.6,-1.1,-10.0,strict_tight,0.08,strict,0.5,288.75,2,True,36.2,7.0
v2_shipped,154,2025-12-10,breakfast|dinner|lunch,1800.0,135.0,180.0,60.0,1778,134,179,58,-1.2,-0.7,-0.6,-3.3,strict_tight,0.08,strict,1.0,244.02,1,False,26.7,9.0
v2_shipped,155,2025-12-11,breakfast|dinner|lunch|snack,1800.0,135.0,180.0,60.0,1780,134,177,60,-1.1,-0.7,-1.7,0.0,strict_tight,0.08,strict,1.0,237.9,1,True,31.6,10.0
v2_shipped,181,2025-12-10,breakfast|dinner|lunch|snack,2400.0,180.0,240.0,80.0,2405,190,239,77,0.2,5.6,-0.4,-3.8,strict_tight,0.08,strict,1.0,263.79,1,True,32.0,3.0
v2_shipped,182,2025-12-11,breakfast|dinner|lunch,2400.0,180.0,240.0,80.0,2419,183,239,81,0.8,1.7,-0.4,1.2,strict_tight,0.08,strict,1.0,217.73,1,True,36.6,3.0
v2_shipped,211,2026-01-19,dinner|lunch|snack,1000.0,75.0,100.0,33.3,962,72,100,30,-3.8,-4.0,0.0,-9.9,strict_tight,0.08,strict,1.0,108.43,1,True,26.7,2.0
v2_shipped,212,2026-01-20,dinner|lunch,1000.0,75.0,100.0,33.3,967,74,93,33,-3.3,-1.3,-7.0,-0.9,strict_tight,0.08,strict,0.5,219.49,2,True,36.3,1.5
v2_shipped,213,2026-01-21,dinner|lunch,1000.0,75.0,100.0,33.3,997,78,75,43,-0.3,4.0,-25.0,29.1,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1673.32,17,True,51.6,2.0
