version,diet_id,diet_label,diet_group,combo,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,root_cause_category,root_cause_detail,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
current_shipped_2026-08-18,person_1,Person 1,real,full_day,2000.0,175.0,200.0,56.0,2021,163,200,63,1.1,-6.9,0.0,12.5,strict_tight,0.08,strict,0.5,134.48,2,,,True,25.8,4.5
current_shipped_2026-08-18,person_1,Person 1,real,lunch_snack_dinner,2000.0,175.0,200.0,56.0,2002,164,197,62,0.1,-6.3,-1.5,10.7,strict_tight,0.08,strict,0.5,84.73,2,,,True,36.5,5.0
current_shipped_2026-08-18,person_1,Person 1,real,lunch_dinner,2000.0,175.0,200.0,56.0,1982,163,198,60,-0.9,-6.9,-1.0,7.1,strict_tight,0.08,strict,0.5,71.12,2,,,True,36.8,5.5
current_shipped_2026-08-18,person_1,Person 1,real,lunch_only,2000.0,175.0,200.0,56.0,1862,192,102,76,-6.9,9.7,-49.0,35.7,single_meal_kcal_protein,0.08,strict,0.5,37.67,2,,,True,61.6,5.5
current_shipped_2026-08-18,person_1,Person 1,real,dinner_only,2000.0,175.0,200.0,56.0,2158,162,177,89,7.9,-7.4,-11.5,58.9,single_meal_kcal_protein,0.08,strict,1.0,34.23,1,,,True,60.2,11.0
current_shipped_2026-08-18,person_1,Person 1,real,lunch_snack,2000.0,175.0,200.0,56.0,1912,148,174,69,-4.4,-15.4,-13.0,23.2,relaxed_culinary,0.15000000000000002,relaxed,0.5,703.11,23,,,True,43.7,5.0
current_shipped_2026-08-18,person_2,Person 2,real,full_day,1350.0,101.0,135.0,45.0,1346,101,134,45,-0.3,0.0,-0.7,0.0,strict_tight,0.08,strict,0.5,232.77,2,,,True,23.7,3.5
current_shipped_2026-08-18,person_2,Person 2,real,lunch_snack_dinner,1350.0,101.0,135.0,45.0,1343,99,135,45,-0.5,-2.0,0.0,0.0,strict_tight,0.08,strict,0.5,130.05,2,,,True,31.1,3.0
current_shipped_2026-08-18,person_2,Person 2,real,lunch_dinner,1350.0,101.0,135.0,45.0,1423,107,136,50,5.4,5.9,0.7,11.1,strict_tight,0.08,strict,1.0,54.03,1,,,True,29.3,4.0
current_shipped_2026-08-18,person_2,Person 2,real,lunch_only,1350.0,101.0,135.0,45.0,1270,103,96,53,-5.9,2.0,-28.9,17.8,single_meal_kcal_protein,0.08,strict,0.5,64.92,2,,,True,41.1,5.0
current_shipped_2026-08-18,person_2,Person 2,real,dinner_only,1350.0,101.0,135.0,45.0,1391,93,135,53,3.0,-7.9,0.0,17.8,single_meal_kcal_protein,0.08,strict,1.0,22.44,1,,,True,50.9,6.0
current_shipped_2026-08-18,person_2,Person 2,real,lunch_snack,1350.0,101.0,135.0,45.0,1354,112,122,47,0.3,10.9,-9.6,4.4,strict_tight,0.08,strict,1.0,19.45,1,,,True,46.2,3.0
current_shipped_2026-08-18,person_3,Person 3,real,full_day,1800.0,135.0,180.0,60.0,1823,129,180,66,1.3,-4.4,0.0,10.0,strict_tight,0.08,strict,1.0,76.81,1,,,True,22.9,3.0
current_shipped_2026-08-18,person_3,Person 3,real,lunch_snack_dinner,1800.0,135.0,180.0,60.0,1774,126,175,63,-1.4,-6.7,-2.8,5.0,strict_tight,0.08,strict,1.0,52.8,1,,,True,23.5,4.0
current_shipped_2026-08-18,person_3,Person 3,real,lunch_dinner,1800.0,135.0,180.0,60.0,1825,143,180,60,1.4,5.9,0.0,0.0,strict_tight,0.08,strict,1.0,64.7,1,,,True,34.3,5.0
current_shipped_2026-08-18,person_3,Person 3,real,lunch_only,1800.0,135.0,180.0,60.0,1723,176,99,69,-4.3,30.4,-45.0,15.0,single_meal_kcal_only,0.08,strict,1.0,101.16,4,,,True,60.5,5.0
current_shipped_2026-08-18,person_3,Person 3,real,dinner_only,1800.0,135.0,180.0,60.0,1803,123,176,68,0.2,-8.9,-2.2,13.3,single_meal_kcal_protein,0.08,strict,1.0,20.52,1,,,True,52.4,8.0
current_shipped_2026-08-18,person_3,Person 3,real,lunch_snack,1800.0,135.0,180.0,60.0,1824,149,152,69,1.3,10.4,-15.6,15.0,strict_relaxed_tol,0.16666666666666669,strict,0.5,362.42,11,,,True,45.8,4.0
current_shipped_2026-08-18,person_4,Person 4,real,full_day,1140.0,95.0,100.0,40.0,1142,93,100,41,0.2,-2.1,0.0,2.5,strict_tight,0.08,strict,0.5,99.5,2,,,True,27.4,2.5
