version,diet_id,diet_label,diet_group,combo,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,root_cause_category,root_cause_detail,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
v2_shipped,person_1,Person 1,real,full_day,2000.0,175.0,200.0,56.0,1927,155,178,66,-3.6,-11.4,-11.0,17.9,strict_relaxed_tol,0.1,strict,0.5,309.02,4,,,True,32.5,3.5
v2_shipped,person_1,Person 1,real,lunch_snack_dinner,2000.0,175.0,200.0,56.0,2014,159,198,66,0.7,-9.1,-1.0,17.9,strict_relaxed_tol,0.1,strict,0.5,393.19,4,,,True,36.3,5.0
v2_shipped,person_1,Person 1,real,lunch_dinner,2000.0,175.0,200.0,56.0,1950,157,189,63,-2.5,-10.3,-5.5,12.5,strict_tight,0.08,strict,0.5,114.98,2,,,True,37.5,5.0
v2_shipped,person_1,Person 1,real,lunch_only,2000.0,175.0,200.0,56.0,1585,170,95,59,-20.8,-2.9,-52.5,5.4,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,997.6,17,,,True,65.8,5.0
v2_shipped,person_1,Person 1,real,dinner_only,2000.0,175.0,200.0,56.0,1629,78,198,59,-18.6,-55.4,-1.0,5.4,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,895.44,17,,,True,48.6,9.0
v2_shipped,person_1,Person 1,real,lunch_snack,2000.0,175.0,200.0,56.0,1912,148,174,69,-4.4,-15.4,-13.0,23.2,relaxed_culinary,0.2,relaxed,0.5,931.36,16,,,True,43.7,5.0
v2_shipped,person_2,Person 2,real,full_day,1350.0,101.0,135.0,45.0,1337,99,134,45,-1.0,-2.0,-0.7,0.0,strict_tight,0.08,strict,0.5,159.62,2,,,True,23.4,2.5
v2_shipped,person_2,Person 2,real,lunch_snack_dinner,1350.0,101.0,135.0,45.0,1343,100,132,46,-0.5,-1.0,-2.2,2.2,strict_tight,0.08,strict,0.5,135.81,2,,,True,31.1,3.0
v2_shipped,person_2,Person 2,real,lunch_dinner,1350.0,101.0,135.0,45.0,1358,101,135,46,0.6,0.0,0.0,2.2,strict_tight,0.08,strict,0.5,146.3,2,,,True,30.7,3.5
v2_shipped,person_2,Person 2,real,lunch_only,1350.0,101.0,135.0,45.0,1237,112,92,47,-8.4,10.9,-31.9,4.4,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,856.02,17,,,True,50.6,3.0
v2_shipped,person_2,Person 2,real,dinner_only,1350.0,101.0,135.0,45.0,1296,70,136,52,-4.0,-30.7,0.7,15.6,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,918.06,17,,,True,47.4,6.0
v2_shipped,person_2,Person 2,real,lunch_snack,1350.0,101.0,135.0,45.0,1354,112,122,47,0.3,10.9,-9.6,4.4,strict_tight,0.08,strict,1.0,114.17,1,,,True,46.2,3.0
v2_shipped,person_3,Person 3,real,full_day,1800.0,135.0,180.0,60.0,1792,134,180,60,-0.4,-0.7,0.0,0.0,strict_tight,0.08,strict,0.5,186.28,2,,,True,29.1,3.5
v2_shipped,person_3,Person 3,real,lunch_snack_dinner,1800.0,135.0,180.0,60.0,1811,132,182,62,0.6,-2.2,1.1,3.3,strict_tight,0.08,strict,0.5,143.28,2,,,True,29.2,6.0
v2_shipped,person_3,Person 3,real,lunch_dinner,1800.0,135.0,180.0,60.0,1895,144,181,66,5.3,6.7,0.6,10.0,strict_tight,0.08,strict,1.0,48.21,1,,,True,33.0,5.0
v2_shipped,person_3,Person 3,real,lunch_only,1800.0,135.0,180.0,60.0,1514,145,97,61,-15.9,7.4,-46.1,1.7,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,808.26,17,,,True,55.1,4.0
v2_shipped,person_3,Person 3,real,dinner_only,1800.0,135.0,180.0,60.0,1626,87,177,64,-9.7,-35.6,-1.7,6.7,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,793.07,17,,,True,47.2,8.0
v2_shipped,person_3,Person 3,real,lunch_snack,1800.0,135.0,180.0,60.0,1824,149,152,69,1.3,10.4,-15.6,15.0,strict_relaxed_tol,0.2,strict,0.5,383.45,8,,,True,45.8,4.0
v2_shipped,person_4,Person 4,real,full_day,1140.0,95.0,100.0,40.0,1136,88,100,43,-0.4,-7.4,0.0,7.5,strict_tight,0.08,strict,0.5,138.77,2,,,True,27.6,2.5
v2_shipped,person_4,Person 4,real,lunch_snack_dinner,1140.0,95.0,100.0,40.0,1116,88,100,40,-2.1,-7.4,0.0,0.0,strict_tight,0.08,strict,0.5,96.9,2,,,True,37.4,2.5
v2_shipped,person_4,Person 4,real,lunch_dinner,1140.0,95.0,100.0,40.0,1140,91,100,42,0.0,-4.2,0.0,5.0,strict_tight,0.08,strict,0.5,145.19,2,,,True,36.6,2.0
v2_shipped,person_4,Person 4,real,lunch_only,1140.0,95.0,100.0,40.0,1099,106,87,36,-3.6,11.6,-13.0,-10.0,strict_relaxed_tol,0.1,strict,1.0,139.7,3,,,True,57.0,3.0
v2_shipped,person_4,Person 4,real,dinner_only,1140.0,95.0,100.0,40.0,967,53,96,41,-15.2,-44.2,-4.0,2.5,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,968.55,17,,,True,47.6,4.0
v2_shipped,person_4,Person 4,real,lunch_snack,1140.0,95.0,100.0,40.0,1132,93,101,40,-0.7,-2.1,1.0,0.0,strict_tight,0.08,strict,0.5,100.34,2,,,True,46.1,2.5
v2_shipped,person_5,Person 5,real,full_day,1400.0,105.0,140.0,46.7,1416,106,141,48,1.1,1.0,0.7,2.8,strict_tight,0.08,strict,0.5,156.84,2,,,True,22.1,2.5
v2_shipped,person_5,Person 5,real,lunch_snack_dinner,1400.0,105.0,140.0,46.7,1385,100,142,46,-1.1,-4.8,1.4,-1.5,strict_tight,0.08,strict,0.5,141.36,2,,,True,30.1,3.5
v2_shipped,person_5,Person 5,real,lunch_dinner,1400.0,105.0,140.0,46.7,1399,102,141,48,-0.1,-2.9,0.7,2.8,strict_tight,0.08,strict,0.5,283.89,2,,,True,29.8,3.5
v2_shipped,person_5,Person 5,real,lunch_only,1400.0,105.0,140.0,46.7,1237,112,92,47,-11.6,6.7,-34.3,0.6,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,825.78,17,,,True,50.6,3.0
v2_shipped,person_5,Person 5,real,dinner_only,1400.0,105.0,140.0,46.7,1212,59,138,47,-13.4,-43.8,-1.4,0.6,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,789.74,17,,,True,43.6,6.0
v2_shipped,person_5,Person 5,real,lunch_snack,1400.0,105.0,140.0,46.7,1384,111,129,47,-1.1,5.7,-7.9,0.6,strict_tight,0.08,strict,0.5,93.9,2,,,True,45.2,3.0
v2_shipped,person_6,Person 6,real,full_day,1600.0,120.0,160.0,53.3,1593,116,162,53,-0.4,-3.3,1.2,-0.6,strict_tight,0.08,strict,0.5,153.22,2,,,True,26.2,3.5
v2_shipped,person_6,Person 6,real,lunch_snack_dinner,1600.0,120.0,160.0,53.3,1585,118,160,52,-0.9,-1.7,0.0,-2.4,strict_tight,0.08,strict,0.5,136.41,2,,,True,32.9,3.5
v2_shipped,person_6,Person 6,real,lunch_dinner,1600.0,120.0,160.0,53.3,1599,112,158,58,-0.1,-6.7,-1.2,8.8,strict_tight,0.08,strict,1.0,51.06,1,,,True,26.1,4.0
v2_shipped,person_6,Person 6,real,lunch_only,1600.0,120.0,160.0,53.3,1445,142,95,55,-9.7,18.3,-40.6,3.2,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,830.48,17,,,True,57.7,4.0
v2_shipped,person_6,Person 6,real,dinner_only,1600.0,120.0,160.0,53.3,1384,72,156,53,-13.5,-40.0,-2.5,-0.6,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,780.08,17,,,True,44.5,7.0
v2_shipped,person_6,Person 6,real,lunch_snack,1600.0,120.0,160.0,53.3,1586,118,142,60,-0.9,-1.7,-11.2,12.6,strict_relaxed_tol,0.1,strict,0.5,303.28,4,,,True,39.5,3.0
v2_shipped,person_7,Person 7,real,full_day,1700.0,127.5,170.0,56.7,1698,127,169,57,-0.1,-0.4,-0.6,0.5,strict_tight,0.08,strict,0.5,150.13,2,,,True,30.7,3.5
v2_shipped,person_7,Person 7,real,lunch_snack_dinner,1700.0,127.5,170.0,56.7,1710,113,173,63,0.6,-11.4,1.8,11.1,strict_tight,0.08,strict,1.0,62.9,1,,,True,25.7,5.0
v2_shipped,person_7,Person 7,real,lunch_dinner,1700.0,127.5,170.0,56.7,1687,114,178,58,-0.8,-10.6,4.7,2.3,strict_tight,0.08,strict,1.0,56.36,1,,,True,26.1,5.0
v2_shipped,person_7,Person 7,real,lunch_only,1700.0,127.5,170.0,56.7,1445,142,95,55,-15.0,11.4,-44.1,-3.0,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,796.46,17,,,True,57.7,4.0
v2_shipped,person_7,Person 7,real,dinner_only,1700.0,127.5,170.0,56.7,1626,87,177,64,-4.4,-31.8,4.1,12.9,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,796.33,17,,,True,47.2,8.0
v2_shipped,person_7,Person 7,real,lunch_snack,1700.0,127.5,170.0,56.7,1725,135,145,67,1.5,5.9,-14.7,18.2,strict_relaxed_tol,0.2,strict,0.5,367.76,8,,,True,42.3,3.5
