version,diet_id,diet_label,diet_group,combo,target_kcal,target_protein_g,target_carbs_g,target_fat_g,actual_kcal,actual_protein_g,actual_carbs_g,actual_fat_g,dev_kcal_pct,dev_protein_pct,dev_carbs_pct,dev_fat_pct,solve_mode,tolerance_tier,culinary_pass,serving_step,wall_time_ms,lp_attempts,root_cause_category,root_cause_detail,culinary_cap_adherent,max_subrecipe_kcal_share_pct,max_subrecipe_servings
v3,person_1,Person 1,real,full_day,2000.0,175.0,200.0,56.0,1927,155,178,66,-3.6,-11.4,-11.0,17.9,strict_relaxed_tol,0.1,strict,0.5,501.51,4,,,True,32.5,3.5
v3,person_1,Person 1,real,lunch_snack_dinner,2000.0,175.0,200.0,56.0,2014,159,198,66,0.7,-9.1,-1.0,17.9,strict_relaxed_tol,0.1,strict,0.5,353.54,4,,,True,36.3,5.0
v3,person_1,Person 1,real,lunch_dinner,2000.0,175.0,200.0,56.0,1950,157,189,63,-2.5,-10.3,-5.5,12.5,strict_tight,0.08,strict,0.5,161.26,2,,,True,37.5,5.0
v3,person_1,Person 1,real,lunch_only,2000.0,175.0,200.0,56.0,1863,203,99,73,-6.9,16.0,-50.5,30.4,single_meal_kcal_only,0.08,strict,1.0,90.42,1,,,True,67.2,6.0
v3,person_1,Person 1,real,dinner_only,2000.0,175.0,200.0,56.0,1868,102,197,74,-6.6,-41.7,-1.5,32.1,single_meal_kcal_only,0.08,strict,1.0,88.76,1,,,True,49.3,9.0
v3,person_1,Person 1,real,lunch_snack,2000.0,175.0,200.0,56.0,1912,148,174,69,-4.4,-15.4,-13.0,23.2,relaxed_culinary,0.2,relaxed,0.5,1085.24,16,,,True,43.7,5.0
v3,person_2,Person 2,real,full_day,1350.0,101.0,135.0,45.0,1337,99,134,45,-1.0,-2.0,-0.7,0.0,strict_tight,0.08,strict,0.5,236.64,2,,,True,23.4,2.5
v3,person_2,Person 2,real,lunch_snack_dinner,1350.0,101.0,135.0,45.0,1343,100,132,46,-0.5,-1.0,-2.2,2.2,strict_tight,0.08,strict,0.5,228.97,2,,,True,31.1,3.0
v3,person_2,Person 2,real,lunch_dinner,1350.0,101.0,135.0,45.0,1358,101,135,46,0.6,0.0,0.0,2.2,strict_tight,0.08,strict,0.5,206.09,2,,,True,30.7,3.5
v3,person_2,Person 2,real,lunch_only,1350.0,101.0,135.0,45.0,1306,115,95,52,-3.3,13.9,-29.6,15.6,single_meal_kcal_only,0.08,strict,1.0,66.13,1,,,True,47.9,4.0
v3,person_2,Person 2,real,dinner_only,1350.0,101.0,135.0,45.0,1296,70,136,52,-4.0,-30.7,0.7,15.6,single_meal_kcal_only,0.08,strict,1.0,70.99,1,,,True,47.4,6.0
v3,person_2,Person 2,real,lunch_snack,1350.0,101.0,135.0,45.0,1354,112,122,47,0.3,10.9,-9.6,4.4,strict_tight,0.08,strict,1.0,66.7,1,,,True,46.2,3.0
v3,person_3,Person 3,real,full_day,1800.0,135.0,180.0,60.0,1792,134,180,60,-0.4,-0.7,0.0,0.0,strict_tight,0.08,strict,0.5,228.22,2,,,True,29.1,3.5
v3,person_3,Person 3,real,lunch_snack_dinner,1800.0,135.0,180.0,60.0,1811,132,182,62,0.6,-2.2,1.1,3.3,strict_tight,0.08,strict,0.5,210.49,2,,,True,29.2,6.0
v3,person_3,Person 3,real,lunch_dinner,1800.0,135.0,180.0,60.0,1895,144,181,66,5.3,6.7,0.6,10.0,strict_tight,0.08,strict,1.0,77.26,1,,,True,33.0,5.0
v3,person_3,Person 3,real,lunch_only,1800.0,135.0,180.0,60.0,1723,176,99,69,-4.3,30.4,-45.0,15.0,single_meal_kcal_only,0.08,strict,1.0,78.63,1,,,True,60.5,5.0
v3,person_3,Person 3,real,dinner_only,1800.0,135.0,180.0,60.0,1695,90,179,69,-5.8,-33.3,-0.6,15.0,single_meal_kcal_only,0.08,strict,1.0,102.8,1,,,True,45.3,8.0
v3,person_3,Person 3,real,lunch_snack,1800.0,135.0,180.0,60.0,1824,149,152,69,1.3,10.4,-15.6,15.0,strict_relaxed_tol,0.2,strict,0.5,539.92,8,,,True,45.8,4.0
v3,person_4,Person 4,real,full_day,1140.0,95.0,100.0,40.0,1136,88,100,43,-0.4,-7.4,0.0,7.5,strict_tight,0.08,strict,0.5,228.6,2,,,True,27.6,2.5
v3,person_4,Person 4,real,lunch_snack_dinner,1140.0,95.0,100.0,40.0,1116,88,100,40,-2.1,-7.4,0.0,0.0,strict_tight,0.08,strict,0.5,158.78,2,,,True,37.4,2.5
v3,person_4,Person 4,real,lunch_dinner,1140.0,95.0,100.0,40.0,1140,91,100,42,0.0,-4.2,0.0,5.0,strict_tight,0.08,strict,0.5,194.5,2,,,True,36.6,2.0
v3,person_4,Person 4,real,lunch_only,1140.0,95.0,100.0,40.0,1097,85,92,43,-3.8,-10.5,-8.0,7.5,single_meal_kcal_only,0.08,strict,1.0,88.25,1,,,True,38.0,4.0
v3,person_4,Person 4,real,dinner_only,1140.0,95.0,100.0,40.0,1121,67,97,52,-1.7,-29.5,-3.0,30.0,single_meal_kcal_only,0.08,strict,1.0,70.43,1,,,True,54.8,4.0
v3,person_4,Person 4,real,lunch_snack,1140.0,95.0,100.0,40.0,1132,93,101,40,-0.7,-2.1,1.0,0.0,strict_tight,0.08,strict,0.5,139.73,2,,,True,46.1,2.5
v3,person_5,Person 5,real,full_day,1400.0,105.0,140.0,46.7,1416,106,141,48,1.1,1.0,0.7,2.8,strict_tight,0.08,strict,0.5,207.2,2,,,True,22.1,2.5
v3,person_5,Person 5,real,lunch_snack_dinner,1400.0,105.0,140.0,46.7,1385,100,142,46,-1.1,-4.8,1.4,-1.5,strict_tight,0.08,strict,0.5,212.69,2,,,True,30.1,3.5
v3,person_5,Person 5,real,lunch_dinner,1400.0,105.0,140.0,46.7,1399,102,141,48,-0.1,-2.9,0.7,2.8,strict_tight,0.08,strict,0.5,233.3,2,,,True,29.8,3.5
v3,person_5,Person 5,real,lunch_only,1400.0,105.0,140.0,46.7,1306,115,95,52,-6.7,9.5,-32.1,11.3,single_meal_kcal_only,0.08,strict,1.0,63.46,1,,,True,47.9,4.0
v3,person_5,Person 5,real,dinner_only,1400.0,105.0,140.0,46.7,1296,70,136,52,-7.4,-33.3,-2.9,11.3,single_meal_kcal_only,0.08,strict,1.0,120.12,1,,,True,47.4,6.0
v3,person_5,Person 5,real,lunch_snack,1400.0,105.0,140.0,46.7,1384,111,129,47,-1.1,5.7,-7.9,0.6,strict_tight,0.08,strict,0.5,136.29,2,,,True,45.2,3.0
v3,person_6,Person 6,real,full_day,1600.0,120.0,160.0,53.3,1593,116,162,53,-0.4,-3.3,1.2,-0.6,strict_tight,0.08,strict,0.5,211.83,2,,,True,26.2,3.5
v3,person_6,Person 6,real,lunch_snack_dinner,1600.0,120.0,160.0,53.3,1585,118,160,52,-0.9,-1.7,0.0,-2.4,strict_tight,0.08,strict,0.5,223.47,2,,,True,32.9,3.5
v3,person_6,Person 6,real,lunch_dinner,1600.0,120.0,160.0,53.3,1599,112,158,58,-0.1,-6.7,-1.2,8.8,strict_tight,0.08,strict,1.0,155.76,1,,,True,26.1,4.0
v3,person_6,Person 6,real,lunch_only,1600.0,120.0,160.0,53.3,1514,145,97,61,-5.4,20.8,-39.4,14.4,single_meal_kcal_only,0.08,strict,1.0,93.45,1,,,True,55.1,4.0
v3,person_6,Person 6,real,dinner_only,1600.0,120.0,160.0,53.3,1538,85,157,63,-3.9,-29.2,-1.9,18.2,single_meal_kcal_only,0.08,strict,1.0,75.98,1,,,True,49.9,7.0
v3,person_6,Person 6,real,lunch_snack,1600.0,120.0,160.0,53.3,1586,118,142,60,-0.9,-1.7,-11.2,12.6,strict_relaxed_tol,0.1,strict,0.5,309.14,4,,,True,39.5,3.0
v3,person_7,Person 7,real,full_day,1700.0,127.5,170.0,56.7,1698,127,169,57,-0.1,-0.4,-0.6,0.5,strict_tight,0.08,strict,0.5,272.7,2,,,True,30.7,3.5
v3,person_7,Person 7,real,lunch_snack_dinner,1700.0,127.5,170.0,56.7,1710,113,173,63,0.6,-11.4,1.8,11.1,strict_tight,0.08,strict,1.0,77.34,1,,,True,25.7,5.0
v3,person_7,Person 7,real,lunch_dinner,1700.0,127.5,170.0,56.7,1687,114,178,58,-0.8,-10.6,4.7,2.3,strict_tight,0.08,strict,1.0,71.65,1,,,True,26.1,5.0
v3,person_7,Person 7,real,lunch_only,1700.0,127.5,170.0,56.7,1583,148,99,66,-6.9,16.1,-41.8,16.4,single_meal_kcal_only,0.08,strict,1.0,76.42,1,,,True,52.7,5.0
v3,person_7,Person 7,real,dinner_only,1700.0,127.5,170.0,56.7,1626,87,177,64,-4.4,-31.8,4.1,12.9,single_meal_kcal_only,0.08,strict,1.0,81.42,1,,,True,47.2,8.0
v3,person_7,Person 7,real,lunch_snack,1700.0,127.5,170.0,56.7,1725,135,145,67,1.5,5.9,-14.7,18.2,strict_relaxed_tol,0.2,strict,0.5,581.04,8,,,True,42.3,3.5
v3,person_8,Person 8,real,full_day,1400.0,70.0,175.0,46.7,1411,80,160,50,0.8,14.3,-8.6,7.1,strict_tight,0.08,strict,0.5,371.87,2,,,True,18.1,2.5
v3,person_8,Person 8,real,lunch_snack_dinner,1400.0,70.0,175.0,46.7,1407,75,159,52,0.5,7.1,-9.1,11.3,strict_tight,0.08,strict,0.5,275.62,2,,,True,22.7,3.5
v3,person_8,Person 8,real,lunch_dinner,1400.0,70.0,175.0,46.7,1197,77,115,48,-14.5,10.0,-34.3,2.8,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1432.22,17,,,True,25.6,3.0
v3,person_8,Person 8,real,lunch_only,1400.0,70.0,175.0,46.7,1306,115,95,52,-6.7,64.3,-45.7,11.3,single_meal_kcal_only,0.08,strict,1.0,80.74,1,,,True,47.9,4.0
v3,person_8,Person 8,real,dinner_only,1400.0,70.0,175.0,46.7,1472,73,176,53,5.1,4.3,0.6,13.5,single_meal_kcal_only,0.08,strict,1.0,94.5,1,,,True,47.8,8.0
v3,person_8,Person 8,real,lunch_snack,1400.0,70.0,175.0,46.7,1238,83,117,49,-11.6,18.6,-33.1,4.9,best_effort_lp,BEST_EFFORT_LP,relaxed,1.0,1380.53,17,,,True,33.7,3.0
v3,person_9,Person 9,real,full_day,1140.0,95.0,100.0,40.0,1136,88,100,43,-0.4,-7.4,0.0,7.5,strict_tight,0.08,strict,0.5,264.7,2,,,True,27.6,2.5
v3,person_9,Person 9,real,lunch_snack_dinner,1140.0,95.0,100.0,40.0,1116,88,100,40,-2.1,-7.4,0.0,0.0,strict_tight,0.08,strict,0.5,179.86,2,,,True,37.4,2.5
v3,person_9,Person 9,real,lunch_dinner,1140.0,95.0,100.0,40.0,1140,91,100,42,0.0,-4.2,0.0,5.0,strict_tight,0.08,strict,0.5,262.07,2,,,True,36.6,2.0
v3,person_9,Person 9,real,lunch_only,1140.0,95.0,100.0,40.0,1097,85,92,43,-3.8,-10.5,-8.0,7.5,single_meal_kcal_only,0.08,strict,1.0,99.69,1,,,True,38.0,4.0
v3,person_9,Person 9,real,dinner_only,1140.0,95.0,100.0,40.0,1121,67,97,52,-1.7,-29.5,-3.0,30.0,single_meal_kcal_only,0.08,strict,1.0,72.78,1,,,True,54.8,4.0
v3,person_9,Person 9,real,lunch_snack,1140.0,95.0,100.0,40.0,1132,93,101,40,-0.7,-2.1,1.0,0.0,strict_tight,0.08,strict,0.5,140.36,2,,,True,46.1,2.5
v3,person_10,Person 10,real,full_day,1200.0,90.0,120.0,40.0,1228,90,120,43,2.3,0.0,0.0,7.5,strict_tight,0.08,strict,0.5,246.13,2,,,True,25.5,2.0
v3,person_10,Person 10,real,lunch_snack_dinner,1200.0,90.0,120.0,40.0,1213,91,117,42,1.1,1.1,-2.5,5.0,strict_tight,0.08,strict,0.5,193.86,2,,,True,34.4,2.5
v3,person_10,Person 10,real,lunch_dinner,1200.0,90.0,120.0,40.0,1234,93,120,42,2.8,3.3,0.0,5.0,strict_tight,0.08,strict,0.5,214.37,2,,,True,33.8,2.5
v3,person_10,Person 10,real,lunch_only,1200.0,90.0,120.0,40.0,1166,88,94,49,-2.8,-2.2,-21.7,22.5,single_meal_kcal_only,0.08,strict,1.0,87.16,1,,,True,35.8,5.0
v3,person_10,Person 10,real,dinner_only,1200.0,90.0,120.0,40.0,1143,56,135,42,-4.8,-37.8,12.5,5.0,single_meal_kcal_only,0.08,strict,1.0,88.35,1,,,True,46.2,6.0
v3,person_10,Person 10,real,lunch_snack,1200.0,90.0,120.0,40.0,1163,93,108,40,-3.1,3.3,-10.0,0.0,strict_tight,0.08,strict,0.5,143.72,2,,,True,44.8,2.5
v3,synth_1000_balanced,1000kcal / balanced,synthetic,full_day,1000.0,72.0,76.8,45.0,1004,72,77,45,0.4,0.0,0.3,0.0,strict_tight,0.08,strict,0.5,277.34,2,,,True,22.9,1.5
v3,synth_1000_balanced,1000kcal / balanced,synthetic,lunch_snack_dinner,1000.0,72.0,76.8,45.0,1008,72,77,46,0.8,0.0,0.3,2.2,strict_tight,0.08,strict,0.5,238.66,2,,,True,30.5,2.0
v3,synth_1000_balanced,1000kcal / balanced,synthetic,lunch_dinner,1000.0,72.0,76.8,45.0,1021,73,75,48,2.1,1.4,-2.3,6.7,strict_tight,0.08,strict,1.0,93.76,1,,,True,30.1,2.0
v3,synth_1000_balanced,1000kcal / balanced,synthetic,lunch_only,1000.0,72.0,76.8,45.0,992,81,70,43,-0.8,12.5,-8.9,-4.4,single_meal_kcal_only,0.08,strict,1.0,65.12,1,,,True,42.1,4.0
